,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD
02_annthyroid_F,0.28843519180775484,0.08567758282997927,0.1989574322310168,0.1434164112630079,0.15425171469632196,0.22107711718299938,0.161026101752126,0.2118679410396463,0.052771762680849994,0.12302676341047344,0.1755293162299067,0.2265253070244423
06_cardio_F,0.6511672913509805,0.61425453670938,0.1820588580379149,0.14322952488910554,0.6143244640959497,0.5934806810358182,0.5381414704505887,0.2718378172162351,0.2779112104382126,0.13950279969703458,,0.13740090975308467
23_mammography_F,0.12514190682105797,0.12241097144893526,0.05812912450673269,0.10772326351957419,0.3506420541171133,0.3438607551866055,0.16623599647738085,0.15429157009118036,0.01709418670687799,0.10134301789702922,,0.1533921068593148
27_PageBlocks_F,0.42790665670622974,0.42060451089396494,0.4245908301814954,0.3385760055603778,0.3770748962779445,0.5158136992816712,0.34825583377785807,0.38411345162744326,0.44489222900424313,0.271430491448086,0.4188937421872187,0.3018605526546867
40_vowels_F,0.1144705920663632,0.24148079218538612,0.5135422215628715,0.6231942970814711,0.1505744036978336,0.24696080829040695,0.06732566725823894,0.7903383036716369,0.1633082081552356,0.698460774840239,,0.2726881219488377
44_Wilt_F,0.042841547459015826,0.03505638949954907,0.035598741374125345,0.05577442064308223,0.036759923838534804,0.03724555928455426,0.03714163939135916,0.04599348209902604,0.04393857057865565,0.04859147309457135,0.03118223849694339,0.050718092134931086
47_yeast_F,0.31273317612571694,0.31725412798235586,0.3090231249903893,0.29829479348195226,0.3148838165490895,0.36362681025876786,0.3319099457118377,0.31383432427130303,0.3890793971648755,0.31989294202651347,0.3105679339257587,0.3015591049626469
