,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD
02_annthyroid_C,0.2954897067123862,0.21032117723414165,0.1780989159861991,0.07163645155390207,0.22116096560941578,0.2921453134674271,0.2364586442813216,0.19185440522200348,0.09127992442981092,0.07010931112273278,0.2062119584754075,0.20650408726657019
06_cardio_C,0.5379957481915834,0.48379252466624667,0.37421992609351457,0.15342772588499187,0.5946396627001247,0.5719161122790701,0.5092473207608008,0.3014398573535899,0.24072880407637542,0.1351840057488821,0.5057658948017947,0.164753051425925
23_mammography_C,0.16505223471648,0.17150404963407323,0.09378565963435732,0.055746681360920224,0.31307734745861604,0.30089954445435907,0.11470174115731373,0.1303558494279028,0.08143212218775306,0.056364304813955005,0.1938331186318554,0.14396134577646386
27_PageBlocks_C,0.41260167838549544,0.3657347872089558,0.33900257529766964,0.4099772315600419,0.37880011164991073,0.4937820224107502,0.36835213700128894,0.3750037554579814,0.5202932145822059,0.3920668232051867,0.4031359024519216,0.40184716610400184
40_vowels_C,0.0721239307188825,0.04519755914077027,0.12049869504271052,0.3414633651991202,0.03970944048939208,0.09790078847503568,0.06417487554599505,0.6551161113629266,0.04239142024782283,0.2781785739890438,0.05211243514612533,0.0688967071250675
44_Wilt_C,0.045719816346831144,0.03676425061226515,0.03627315841976949,0.082022769624191,0.03741092319590317,0.03893667210828231,0.03692850822356121,0.051580436736908805,0.03888767953161953,0.07596722979076634,0.032238812607332315,0.04891736385079551
47_yeast_C,0.3470357188479969,0.34856947431625784,0.32247470723701654,0.3352195858078767,0.33746860218495733,0.3699742765181493,0.38931011483806455,0.3225889839354932,0.4220296458947907,0.3513380957283161,0.3258818952546042,0.3231565771175714
