,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD
02_annthyroid_C,0.8179249999999999,0.6667875,0.699465625,0.472603125,0.7902,0.79734375,0.7230078125,0.7465593749999999,0.5014875,0.4604859375,0.713253125,0.8113078125
06_cardio_C,0.9421813902281615,0.9204661933867356,0.8093846095440568,0.6325879807144755,0.9312099009149235,0.9374739000037964,0.8807562355263656,0.7701302152537869,0.7934019209597205,0.6196803462283134,0.9437378990926693,0.6522151778596106
23_mammography_C,0.8485951167643047,0.8687981502287135,0.8401738423882513,0.6829332517454458,0.886603703555092,0.896424343953134,0.8182755196212183,0.8583956945670492,0.8026317109381269,0.6196658574753229,0.8957823409036193,0.8497261455741917
27_PageBlocks_C,0.8775167860090567,0.8946351691985098,0.8349996653951683,0.7955519864373508,0.8809297552923331,0.9198509893149522,0.8236409467086039,0.793232059604274,0.818579490954516,0.8168640835173661,0.8918289500100383,0.8252158201164425
40_vowels_C,0.6110584518167457,0.4783570300157978,0.8298578199052133,0.8543443917851501,0.4477093206951027,0.528909952606635,0.557345971563981,0.9666666666666668,0.5417061611374407,0.9216429699842023,0.5224328593996841,0.5466034755134281
44_Wilt_C,0.4683672791780899,0.3319135211027103,0.32327132327132324,0.6525570849895175,0.3459345621507784,0.37272442677848083,0.28859343724208586,0.5239960915636591,0.365339189663514,0.5893485623215353,0.23309269255215198,0.428566685323442
47_yeast_C,0.45571518080916573,0.5138515932688865,0.4614885427855353,0.46885069817400643,0.44255728607232364,0.4983888292158968,0.5391604010025063,0.42261904761904756,0.5960884353741496,0.49142946652345154,0.46840315073397787,0.4522690655209453
