,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,HBOS,KNN,LODA,LOF,PCA,SOD
02_annthyroid_F,0.77283125,0.558215625,0.6776906250000001,0.6523718749999999,0.760271875,0.7763625000000001,0.6688968750000001,0.7249656250000001,0.3503484375,0.6347125,0.6607406250000001,0.7731921875
06_cardio_F,0.943661971830986,0.9376637181580045,0.7186515318325044,0.6371056527846324,0.931703428115865,0.9447629171253938,0.8787061994609164,0.732508257089708,0.782392468015641,0.651949432443719,,0.61983220075168
23_mammography_F,0.789786634299013,0.8513135984270925,0.7811697496188107,0.7881465171334565,0.8988820118770564,0.9073885522831233,0.870164914533344,0.8616959914934597,0.3704006500280876,0.7622055814140117,,0.8305688748896558
27_PageBlocks_F,0.8656182381940261,0.8639764438198487,0.8390327689665172,0.6590912132771198,0.8654531664770573,0.9105445135961097,0.7827477748778693,0.7700640210577975,0.685388922349372,0.689999776930112,0.8746168774677107,0.6983024381538736
40_vowels_F,0.7497630331753555,0.5581358609794629,0.9181674565560822,0.9563981042654028,0.4837282780410743,0.5450236966824644,0.5993680884676146,0.9701421800947867,0.7898894154818326,0.9246445497630332,,0.8783570300157978
44_Wilt_F,0.43207194558545914,0.29911870452410994,0.30998074241317486,0.5513930919336325,0.33074668209803343,0.34001498866363733,0.2822517146841471,0.4720195801276882,0.3422395719693017,0.48789048789048783,0.20584747611774637,0.4541707379545218
47_yeast_F,0.40984156820622986,0.4422887576083065,0.4331811672037236,0.4085660580021483,0.40646258503401356,0.4666353383458647,0.40481784819190836,0.41389187253848914,0.5405254206945936,0.4435195130683852,0.4201127819548872,0.408812209094164
